Identifier,Non-polymer EntityData,,,,,,,,,,
Entity ID,Asym ID,Auth Asym ID,Ligand ID,Ligand Formula,Ligand MW,Ligand Name,InChI,InChI Key,Ligand SMILES,Ligand of Interest,
"2E2B_2","C, D","A, B","406","C30 H31 F3 N8 O",576.615,"N-[3-(4,5'-BIPYRIMIDIN-2-YLAMINO)-4-METHYLPHENYL]-4-{[(3S)-3-(DIMETHYLAMINO)PYRROLIDIN-1-YL]METHYL}-3-(TRIFLUOROMETHYL)
BENZAMIDE","InChI=1S/C30H31F3N8O/c1-19-4-7-23(13-27(19)39-29-36-10-8-26(38-29)22-14-34-18-35-15-22)37-28(42)20-5-6-21(25(12-20)30(31,32)33)16-41-11-9-24(17-41)40(2)3/h4-8,10,12-15,18,24H,9,11,16-17H2,1-3H3,(H,37,42)(H,36,38,39)/t24-/m0/s1","ZGBAJMQHJDFTQJ-DEOSSOPVSA-N","Cc1ccc(cc1Nc2nccc(n2)c3cncnc3)NC(=O)c4ccc(c(c4)C(F)(F)F)CN5CCC(C5)N(C)C"
"2F4J_2","B","A","VX6","C23 H28 N8 O S",464.586,"CYCLOPROPANECARBOXYLIC ACID {4-[4-(4-METHYL-PIPERAZIN-1-YL)-6-(5-METHYL-2H-PYRAZOL-3-YLAMINO)-PYRIMIDIN-2-YLSULFANYL]-PHENYL}-AMIDE","InChI=1S/C23H28N8OS/c1-15-13-20(29-28-15)25-19-14-21(31-11-9-30(2)10-12-31)27-23(26-19)33-18-7-5-17(6-8-18)24-22(32)16-3-4-16/h5-8,13-14,16H,3-4,9-12H2,1-2H3,(H,24,32)(H2,25,26,27,28,29)","GCIKSSRWRFVXBI-UHFFFAOYSA-N","Cc1cc([nH]n1)Nc2cc(nc(n2)Sc3ccc(cc3)NC(=O)C4CC4)N5CCN(CC5)C"
"2FO0_3","C","A","P16","C21 H16 Cl2 N4 O2",427.283,"6-(2,6-DICHLOROPHENYL)-2-{[3-(HYDROXYMETHYL)PHENYL]AMINO}-8-METHYLPYRIDO[2,3-D]PYRIMIDIN-7(8H)-ONE","InChI=1S/C21H16Cl2N4O2/c1-27-19-13(9-15(20(27)29)18-16(22)6-3-7-17(18)23)10-24-21(26-19)25-14-5-2-4-12(8-14)11-28/h2-10,28H,11H2,1H3,(H,24,25,26)","ZIQFYVPVJZEOFS-UHFFFAOYSA-N","CN1c2c(cnc(n2)Nc3cccc(c3)CO)C=C(C1=O)c4c(cccc4Cl)Cl"
"2G1T_4","M, N, O, P","E, F, G, H","112","C12 H19 N6 O13 P3 S",580.298,"THIOPHOSPHORIC ACID O-((ADENOSYL-PHOSPHO)PHOSPHO)-S-ACETAMIDYL-DIESTER","InChI=1S/C12H19N6O13P3S/c13-6(19)2-35-34(26,27)31-33(24,25)30-32(22,23)28-1-5-8(20)9(21)12(29-5)18-4-17-7-10(14)15-3-16-11(7)18/h3-5,8-9,12,20-21H,1-2H2,(H2,13,19)(H,22,23)(H,24,25)(H,26,27)(H2,14,15,16)/t5-,8-,9-,12-/m1/s1","ZAOVTTQZIXCKOL-JJNLEZRASA-N","c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)SCC(=O)N)O)O)N"
"2G2H_2","C, D","A, B","P16","C21 H16 Cl2 N4 O2",427.283,"6-(2,6-DICHLOROPHENYL)-2-{[3-(HYDROXYMETHYL)PHENYL]AMINO}-8-METHYLPYRIDO[2,3-D]PYRIMIDIN-7(8H)-ONE","InChI=1S/C21H16Cl2N4O2/c1-27-19-13(9-15(20(27)29)18-16(22)6-3-7-17(18)23)10-24-21(26-19)25-14-5-2-4-12(8-14)11-28/h2-10,28H,11H2,1H3,(H,24,25,26)","ZIQFYVPVJZEOFS-UHFFFAOYSA-N","CN1c2c(cnc(n2)Nc3cccc(c3)CO)C=C(C1=O)c4c(cccc4Cl)Cl"
"2GQG_2","C, D","A, B","1N1","C22 H26 Cl N7 O2 S",488.006,"N-(2-CHLORO-6-METHYLPHENYL)-2-({6-[4-(2-HYDROXYETHYL)PIPERAZIN-1-YL]-2-METHYLPYRIMIDIN-4-YL}AMINO)-1,3-THIAZOLE-5-CARBOXAMIDE","InChI=1S/C22H26ClN7O2S/c1-14-4-3-5-16(23)20(14)28-21(32)17-13-24-22(33-17)27-18-12-19(26-15(2)25-18)30-8-6-29(7-9-30)10-11-31/h3-5,12-13,31H,6-11H2,1-2H3,(H,28,32)(H,24,25,26,27)","ZBNZXTGUTAYRHI-UHFFFAOYSA-N","Cc1cccc(c1NC(=O)c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)Cl"
"2HIW_2","C, D","A, B","7MP","C22 H18 F3 N6 O2",455.413,"7-AMINO-1-METHYL-3-(2-METHYL-5-{[3-(TRIFLUOROMETHYL)BENZOYL]AMINO}PHENYL)-2-OXO-2,3-DIHYDROPYRIMIDO[4,5-D]PYRIMIDIN-1-IUM","InChI=1S/C22H17F3N6O2/c1-12-6-7-16(28-19(32)13-4-3-5-15(8-13)22(23,24)25)9-17(12)31-11-14-10-27-20(26)29-18(14)30(2)21(31)33/h3-11,26H,1-2H3,(H,28,32)/p+1","SQOIIWIQKKMCCG-UHFFFAOYSA-O","Cc1ccc(cc1N2C=C3C=NC(=NC3=[N+](C2=O)C)N)NC(=O)c4cccc(c4)C(F)(F)F"
"2HYY_2","E, F, G, H","A, B, C, D","STI","C29 H31 N7 O",493.603,"4-(4-METHYL-PIPERAZIN-1-YLMETHYL)-N-[4-METHYL-3-(4-PYRIDIN-3-YL-PYRIMIDIN-2-YLAMINO)-PHENYL]-BENZAMIDE","InChI=1S/C29H31N7O/c1-21-5-10-25(18-27(21)34-29-31-13-11-26(33-29)24-4-3-12-30-19-24)32-28(37)23-8-6-22(7-9-23)20-36-16-14-35(2)15-17-36/h3-13,18-19H,14-17,20H2,1-2H3,(H,32,37)(H,31,33,34)","KTUFNOKKBVMGRW-UHFFFAOYSA-N","Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4)CN5CCN(CC5)C"
"2HZ0_2","C, D","A, B","GIN","C23 H22 F3 N3 O2",429.435,"2-{[(6-OXO-1,6-DIHYDROPYRIDIN-3-YL)METHYL]AMINO}-N-[4-PROPYL-3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE","InChI=1S/C23H22F3N3O2/c1-2-5-16-9-10-17(12-19(16)23(24,25)26)29-22(31)18-6-3-4-7-20(18)27-13-15-8-11-21(30)28-14-15/h3-4,6-12,14,27H,2,5,13H2,1H3,(H,28,30)(H,29,31)","SHSORWZDEKFFLP-UHFFFAOYSA-N","CCCc1ccc(cc1C(F)(F)F)NC(=O)c2ccccc2NCC3=CNC(=O)C=C3"
"2HZI_2","C, D","A, B","JIN","C21 H15 Cl2 F N4 O",429.274,"6-(2,6-DICHLOROPHENYL)-2-[(4-FLUORO-3-METHYLPHENYL)AMINO]-8-METHYLPYRIDO[2,3-D]PYRIMIDIN-7(8H)-ONE","InChI=1S/C21H15Cl2FN4O/c1-11-8-13(6-7-17(11)24)26-21-25-10-12-9-14(20(29)28(2)19(12)27-21)18-15(22)4-3-5-16(18)23/h3-10H,1-2H3,(H,25,26,27)","SLCFEJAMCRLYRG-UHFFFAOYSA-N","Cc1cc(ccc1F)Nc2ncc3c(n2)N(C(=O)C(=C3)c4c(cccc4Cl)Cl)C"
