PDB_ID,Ligand_ID,SMILES,
2E2B_2,406,Cc1ccc(cc1Nc2nccc(n2)c3cncnc3)NC(=O)c4ccc(c(c4)C(F)(F)F)CN5CCC(C5)N(C)C,
2F4J_2,VX6,Cc1cc([nH]n1)Nc2cc(nc(n2)Sc3ccc(cc3)NC(=O)C4CC4)N5CCN(CC5)C,
2FO0_3,P16,CN1c2c(cnc(n2)Nc3cccc(c3)CO)C=C(C1=O)c4c(cccc4Cl)Cl,
2G1T_4,112,c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)SCC(=O)N)O)O)N,
2G2H_2,P16,CN1c2c(cnc(n2)Nc3cccc(c3)CO)C=C(C1=O)c4c(cccc4Cl)Cl,
2GQG_2,1N1,Cc1cccc(c1NC(=O)c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)Cl,
2HIW_2,7MP,Cc1ccc(cc1N2C=C3C=NC(=NC3=[N+](C2=O)C)N)NC(=O)c4cccc(c4)C(F)(F)F,
2HYY_2,STI,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4)CN5CCN(CC5)C,
2HZ0_2,GIN,CCCc1ccc(cc1C(F)(F)F)NC(=O)c2ccccc2NCC3=CNC(=O)C=C3,
2HZI_2,JIN,Cc1cc(ccc1F)Nc2ncc3c(n2)N(C(=O)C(=C3)c4c(cccc4Cl)Cl)C,
2V7A_2,627,CN1CCN(CC1)c2ccc(cc2)C(=O)Nc3c4c([nH]n3)CN(C4)C(=O)C(c5ccccc5)OC,
3CS9_2,NIL,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)C(=O)Nc4cc(cc(c4)n5cc(nc5)C)C(F)(F)F,
3PYY_3,STI,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4)CN5CCN(CC5)C,
3PYY_4,3YY,c1ccc(cc1)n2cc(c(n2)c3ccc(cc3)F)C4C(=O)NC(=O)N4,
3PYY_5,2PE,C(COCCOCCOCCOCCOCCOCCOCCOCCO)O,
3QRI_3,919,CC(C)(C)c1cc(n(n1)c2ccc3c(c2)cccn3)NC(=O)Nc4ccc(cc4F)Oc5ccnc(c5)C(=O)NC,
3QRJ_2,919,CC(C)(C)c1cc(n(n1)c2ccc3c(c2)cccn3)NC(=O)Nc4ccc(cc4F)Oc5ccnc(c5)C(=O)NC,
3QRK_2,9DP,CC(C)(C)c1cc(n(n1)c2ccc3c(c2)CC(NC3)C(=O)O)NC(=O)Nc4cccc(c4Cl)Cl,
3UE4_2,DB8,CN1CCN(CC1)CCCOc2cc3c(cc2OC)c(c(cn3)C#N)Nc4cc(c(cc4Cl)Cl)OC,
4TWP_2,AXI,CNC(=O)c1ccccc1Sc2ccc3c(c2)[nH]nc3C=Cc4ccccn4,
4WA9_2,AXI,CNC(=O)c1ccccc1Sc2ccc3c(c2)[nH]nc3C=Cc4ccccn4,
4ZOG_2,VX6,Cc1cc([nH]n1)Nc2cc(nc(n2)Sc3ccc(cc3)NC(=O)C4CC4)N5CCN(CC5)C,
5HU9_2,66K,Cc1ccc(cc1OC2CCN(CC2)C(=O)c3cccnc3)NC(=O)c4ccc(c(c4)C(F)(F)F)CN5CCN(CC5)C,
5MO4_2,NIL,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)C(=O)Nc4cc(cc(c4)n5cc(nc5)C)C(F)(F)F,
5MO4_3,AY7,c1cc(ccc1NC(=O)c2cc(c(nc2)N3CCC(C3)O)c4ccn[nH]4)OC(F)(F)Cl,
6BL8_2,PVB,CC(C)C(CO)Nc1nc(c2c(n1)n(cn2)C(C)C)Nc3ccc(c(c3)Cl)C(=O)O,Y
6NPE_3,STI,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4)CN5CCN(CC5)C,
6NPE_4,KWD,c1cc(c(cc1c2csc(n2)NC(=O)CC#N)Cl)Cl,Y
6NPE_5,2PE,C(COCCOCCOCCOCCOCCOCCOCCOCCO)O,
6NPU_2,STI,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4)CN5CCN(CC5)C,
6NPU_3,KWV,CC(=O)NC1=NN(CC1)c2ccc(c(c2)Cl)Cl,
6NPU_6,2PE,C(COCCOCCOCCOCCOCCOCCOCCOCCO)O,
6NPV_3,STI,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4)CN5CCN(CC5)C,
6NPV_4,KWP,c1cc(c(cc1N2CC(C(=N2)NC(=O)c3ccncc3)CCO)Cl)Cl,Y
6NPV_6,2PE,C(COCCOCCOCCOCCOCCOCCOCCOCCO)O,
7DT2_2,HJ9,B(c1cc(c(cc1C=O)c2c[nH]c3c2cc(cn3)c4cc(cnc4)C(=O)N(C)C)OC)(O)O,Y
7N9G_2,STI,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4)CN5CCN(CC5)C,Y
7N9G_3,1N1,Cc1cccc(c1NC(=O)c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)Cl,Y
7PVS_6,P6G,C(COCCOCCOCCOCCOCCO)O,
