Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Level
GCA_009858895.3	ASM985889v3	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCF_009858895.2	ASM985889v3	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_000864885.1	ViralProj15500	SARS coronavirus Tor2	227984	Complete Genome
GCF_000864885.1	ViralProj15500	SARS coronavirus Tor2	227984	Complete Genome
GCA_000848685.1	ViralProj14739	Porcine epidemic diarrhea virus	28295	Complete Genome
GCF_000848685.1	ViralProj14739	Porcine epidemic diarrhea virus	28295	Complete Genome
GCA_000901155.1	ViralProj183710	Human betacoronavirus 2c EMC/2012	1235996	Complete Genome
GCF_000901155.1	ViralProj183710	Middle East respiratory syndrome-related coronavirus	1335626	Complete Genome
GCA_003972325.1	ASM397232v1	Human coronavirus OC43	31631	Complete Genome
GCF_003972325.1	ASM397232v1	Human coronavirus OC43	31631	Complete Genome
GCA_000862965.1	ViralProj15303	Infectious bronchitis virus	11120	Complete Genome
GCF_000862965.1	ViralProj15303	Infectious bronchitis virus	11120	Complete Genome
GCA_012271575.1	ASM1227157v1	Infectious bronchitis virus Ind-TN92-03	2847808	Complete Genome
GCF_012271575.1	ASM1227157v1	Infectious bronchitis virus	11120	Complete Genome
GCA_012271565.1	ASM1227156v1	Duck coronavirus DK/GD/27/2014	2849730	Complete Genome
GCF_012271565.1	ASM1227156v1	Duck coronavirus	300188	Complete Genome
GCA_002985995.1	ASM298599v1	Transmissible gastroenteritis virus	11149	Complete Genome
GCF_002985995.1	ASM298599v1	Transmissible gastroenteritis virus	11149	Complete Genome
GCA_002816235.1	ASM281623v1	Porcine coronavirus HKU15	1159905	Complete Genome
GCF_002816235.1	ASM281623v1	Porcine coronavirus HKU15	1159905	Complete Genome
GCA_012271725.1	ASM1227172v1	Eidolon helvum bat coronavirus CMR704-P12	2849735	Complete Genome
GCF_012271725.1	ASM1227172v1	Bat coronavirus	1508220	Complete Genome
GCA_003971785.1	ASM397178v1	Murine hepatitis virus	11138	Complete Genome
GCF_003971785.1	ASM397178v1	Murine hepatitis virus	11138	Complete Genome
GCA_000872845.1	ViralProj29509	Beluga whale coronavirus SW1	694015	Complete Genome
GCF_000872845.1	ViralProj29509	Beluga whale coronavirus SW1	694015	Complete Genome
GCA_000926915.1	ViralProj263036	Bat Hp-betacoronavirus/Zhejiang2013	1541205	Complete Genome
GCF_000926915.1	ViralProj263036	Bat Hp-betacoronavirus/Zhejiang2013	1541205	Complete Genome
GCA_012271615.1	ASM1227161v1	Myodes rufocanus vole coronavirus 2/JL2014	2847997	Complete Genome
GCF_012271615.1	ASM1227161v1	Rodent coronavirus	2050018	Complete Genome
GCA_000930095.1	ViralProj271776	Betacoronavirus HKU24	1590370	Complete Genome
GCF_000930095.1	ViralProj271776	Betacoronavirus HKU24	1590370	Complete Genome
GCA_000873025.1	ViralProj18865	Pipistrellus bat coronavirus HKU5	694008	Complete Genome
GCF_000873025.1	ViralProj18865	Pipistrellus bat coronavirus HKU5	694008	Complete Genome
GCA_000870505.1	ViralProj18863	Tylonycteris bat coronavirus HKU4	694007	Complete Genome
GCF_000870505.1	ViralProj18863	Tylonycteris bat coronavirus HKU4	694007	Complete Genome
GCA_001725835.1	ViralProj342647	Rousettus bat coronavirus	1892416	Complete Genome
GCF_001725835.1	ViralProj342647	Rousettus bat coronavirus	1892416	Complete Genome
GCA_002816175.1	ASM281617v1	Betacoronavirus Erinaceus/VMC/DEU/2012	1385427	Complete Genome
GCF_002816175.1	ASM281617v1	Betacoronavirus Erinaceus/VMC/DEU/2012	1385427	Complete Genome
GCA_000858765.1	ViralProj15139	Human coronavirus HKU1	290028	Complete Genome
GCF_000858765.1	ViralProj15139	Human coronavirus HKU1	290028	Complete Genome
GCA_000868045.1	ViralProj18867	Rousettus bat coronavirus HKU9	694006	Complete Genome
GCF_000868045.1	ViralProj18867	Rousettus bat coronavirus HKU9	694006	Complete Genome
GCA_023148835.1	ASM2314883v1	bat alphacoronavirus isolate AMA_L_F	3070181	Complete Genome
GCF_023148835.1	ASM2314883v1	Bat alphacoronavirus	2419667	Complete Genome
GCA_000919475.1	ViralProj241029	Mink coronavirus strain WD1127	766791	Complete Genome
GCF_000919475.1	ViralProj241029	Mink coronavirus strain WD1127	766791	Complete Genome
GCA_000879875.1	ViralProj29245	Miniopterus bat coronavirus HKU8	694001	Complete Genome
GCF_000879875.1	ViralProj29245	Miniopterus bat coronavirus HKU8	694001	Complete Genome
GCA_001962315.1	ViralProj361952	Lucheng Rn rat coronavirus	1508224	Complete Genome
GCF_001962315.1	ViralProj361952	Lucheng Rn rat coronavirus	1508224	Complete Genome
GCA_003972065.1	ASM397206v1	NL63-related bat coronavirus	1920748	Complete Genome
GCF_003972065.1	ASM397206v1	NL63-related bat coronavirus	1920748	Complete Genome
GCA_012271745.1	ASM1227174v1	Canada goose coronavirus	2569586	Complete Genome
GCF_012271745.1	ASM1227174v1	Canada goose coronavirus	2569586	Complete Genome
GCA_000899495.1	ViralProj177902	Rousettus bat coronavirus HKU10	1241933	Complete Genome
GCF_000899495.1	ViralProj177902	Rousettus bat coronavirus HKU10	1241933	Complete Genome
GCA_000879255.1	ViralProj29247	Miniopterus bat coronavirus 1	694000	Complete Genome
GCF_000879255.1	ViralProj29247	Bat coronavirus 1A	393767	Complete Genome
GCA_000870985.1	ViralProj20135	Scotophilus bat coronavirus 512	693999	Complete Genome
GCF_000870985.1	ViralProj20135	Scotophilus bat coronavirus 512	693999	Complete Genome
GCA_023124385.1	ASM2312438v1	alphacoronavirus sp. WA1087	3069910	Complete Genome
GCF_023124385.1	ASM2312438v1	Alphacoronavirus sp.	1906673	Complete Genome
GCA_023141795.1	ASM2314179v1	Hipposideros pomona bat coronavirus CHB25	2691598	Complete Genome
GCF_023141795.1	ASM2314179v1	Hipposideros pomona bat coronavirus CHB25	2691598	Complete Genome
GCA_012271735.1	ASM1227173v1	Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015	2492658	Complete Genome
GCF_012271735.1	ASM1227173v1	Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015	2492658	Complete Genome
GCA_023122875.1	ASM2312287v1	bat alphacoronavirus BtCoV/020_16/M.dau/FIN/2016	3070180	Complete Genome
GCF_023122875.1	ASM2312287v1	Bat alphacoronavirus	2419667	Complete Genome
GCA_000913415.1	ViralProj215863	Bat coronavirus CDPHE15	1913643	Complete Genome
GCF_000913415.1	ViralProj215863	Bat coronavirus CDPHE15/USA/2006	1384461	Complete Genome
GCA_023124405.1	ASM2312440v1	alphacoronavirus sp. WA3607	3070155	Complete Genome
GCF_023124405.1	ASM2312440v1	Alphacoronavirus sp.	1906673	Complete Genome
GCA_001503155.1	ViralProj307859	BtMr-AlphaCoV/SAX2011	1503289	Complete Genome
GCF_001503155.1	ViralProj307859	BtMr-AlphaCoV/SAX2011	1503289	Complete Genome
GCA_001505415.1	ViralProj307857	BtNv-AlphaCoV/SC2013	1503291	Complete Genome
GCF_001505415.1	ViralProj307857	BtNv-AlphaCoV/SC2013	1503291	Complete Genome
GCA_023124615.1	ASM2312461v1	Tylonycteris bat coronavirus HKU33	2586420	Complete Genome
GCF_023124615.1	ASM2312461v1	Tylonycteris bat coronavirus HKU33	2586420	Complete Genome
GCA_001504755.1	ViralProj307856	BtRf-AlphaCoV/HuB2013	1503292	Complete Genome
GCF_001504755.1	ViralProj307856	BtRf-AlphaCoV/HuB2013	1503292	Complete Genome
GCA_000853865.1	ViralProj14960	Human coronavirus NL63	277944	Complete Genome
GCF_000853865.1	ViralProj14960	Human coronavirus NL63	277944	Complete Genome
GCA_023124395.1	ASM2312439v1	alphacoronavirus sp. WA2028	3070154	Complete Genome
GCF_023124395.1	ASM2312439v1	Alphacoronavirus sp.	1906673	Complete Genome
GCA_000853505.1	ViralProj14913	Human coronavirus 229E	11137	Complete Genome
GCF_000853505.1	ViralProj14913	Human coronavirus 229E	11137	Complete Genome
GCA_000875645.1	ViralProj27911	Rhinolophus bat coronavirus HKU2	693998	Complete Genome
GCF_000875645.1	ViralProj27911	Rhinolophus bat coronavirus HKU2	693998	Complete Genome
GCA_012271625.1	ASM1227162v1	Common shrew coronavirus Tibet-2014	2849711	Complete Genome
GCF_012271625.1	ASM1227162v1	Shrew coronavirus	2050019	Complete Genome
GCA_000880835.1	ViralProj32703	Munia coronavirus HKU13	1297661	Complete Genome
GCF_000880835.1	ViralProj32703	Munia coronavirus HKU13-3514	572289	Complete Genome
GCA_002816215.1	ASM281621v1	Bulbul coronavirus HKU11	574549	Complete Genome
GCF_002816215.1	ASM281621v1	Bulbul coronavirus HKU11-934	572288	Complete Genome
GCA_000895415.1	ViralProj109279	Wigeon coronavirus HKU20	1159908	Complete Genome
GCF_000895415.1	ViralProj109279	Wigeon coronavirus HKU20	1159908	Complete Genome
GCA_000896895.1	ViralProj109281	Common moorhen coronavirus HKU21	1159902	Complete Genome
GCF_000896895.1	ViralProj109281	Common moorhen coronavirus HKU21	1159902	Complete Genome
GCA_000896035.1	ViralProj109277	Night heron coronavirus HKU19	1159904	Complete Genome
GCF_000896035.1	ViralProj109277	Night heron coronavirus HKU19	1159904	Complete Genome
GCA_000896875.1	ViralProj109273	White-eye coronavirus HKU16	1159907	Complete Genome
GCF_000896875.1	ViralProj109273	White-eye coronavirus HKU16	1159907	Complete Genome
GCA_012271635.1	ASM1227163v1	Suncus murinus coronavirus Xingguo-74	2848125	Complete Genome
GCF_012271635.1	ASM1227163v1	Wencheng Sm shrew coronavirus	1508228	Complete Genome
GCA_011545035.1	nCoV-SH01	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537615.1	ASM1153761v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537235.1	BetaCoV/Korea/SNU01/2020	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537295.1	ASM1153729v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537695.1	ASM1153769v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537705.1	ASM1153770v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545165.1	ASM1154516v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545245.1	ASM1154524v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545275.1	ASM1154527v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011741995.1	ASM1174199v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011742015.1	ASM1174201v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537005.1	BetaCoV/Wuhan/IPBCAMS-WH-02/2019	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537135.1	BetaCoV/Wuhan/IPBCAMS-WH-01/2019	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545235.1	ASM1154523v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011536935.1	Australia/VIC01/2020	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_009937895.1	ASM993789v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_009948465.1	ASM994846v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537565.1	ASM1153756v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545535.1	Sars CoV2/human/Ho Chi Minh city/nCoV-19-01S/2020	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964062335.1	INEI102334	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964063085.1	INEI100608	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537015.1	BetaCoV/Wuhan/IPBCAMS-WH-02/2019	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545555.1	Sars CoV2/human/Ho Chi Minh city/nCoV-19-02S/2020	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537065.1	BetaCoV/Wuhan/IPBCAMS-WH-02/2019	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964121845.1	INEI115721	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964125415.1	INEI116081	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964126955.1	INEI116141	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964129305.1	INEI116873	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964121995.1	INEI115873	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537455.1	SARS-CoV-2-Iso_01-Human-2020-02-07-Swe	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964122445.1	INEI115657	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_009937935.1	ASM993793v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011536975.1	IPBCAMS-WH-05	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_009937905.1	ASM993790v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_009937915.1	ASM993791v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_009937925.1	ASM993792v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_009937945.1	ASM993794v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537075.1	ASM1153707v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537085.1	ASM1153708v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537145.1	ASM1153714v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537265.1	ASM1153726v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537355.1	ASM1153735v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537475.1	ASM1153747v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537505.1	ASM1153750v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537515.1	ASM1153751v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537525.1	ASM1153752v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537555.1	ASM1153755v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537825.2	ASM1153782v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537835.2	ASM1153783v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537865.2	ASM1153786v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537895.2	ASM1153789v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537945.2	ASM1153794v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537975.2	ASM1153797v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537985.2	ASM1153798v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011538025.2	ASM1153802v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011538055.2	ASM1153805v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011538105.2	ASM1153810v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011544975.2	ASM1154497v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545025.2	ASM1154502v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545065.2	ASM1154506v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545075.2	ASM1154507v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545085.2	ASM1154508v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545095.2	ASM1154509v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545125.2	ASM1154512v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545285.2	ASM1154528v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545295.1	ASM1154529v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545325.2	ASM1154532v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545335.2	ASM1154533v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545345.1	ASM1154534v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545355.1	ASM1154535v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545425.1	ASM1154542v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011742025.1	ASM1174202v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011742035.1	ASM1174203v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964063255.1	INEI100599	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_009938055.1	ASM993805v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_009938065.1	ASM993806v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537155.1	ASM1153715v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964130535.1	INEI117402	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537715.1	ASM1153771v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537625.1	ASM1153762v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964125845.1	INEI116053	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964128355.1	INEI116771	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011742005.2	ASM1174200v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964125675.1	INEI116376	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964126745.1	INEI116288	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964129315.1	INEI116702	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964131115.1	INEI117004	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537365.1	ASM1153736v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011537395.1	ASM1153739v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964123795.1	INEI116312	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964134015.1	INEI117435	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011538015.2	ASM1153801v2	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_011545135.1	ASM1154513v1	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
GCA_964063185.1	INEI102463	Severe acute respiratory syndrome coronavirus 2	2697049	Complete Genome
